1, plains, modern_beta:alpha, MONSTER, minecraft:spider, 60, 4, 4
2, plains, modern_beta:alpha, MONSTER, minecraft:zombie, 60, 4, 4
3, plains, modern_beta:alpha, MONSTER, minecraft:zombie_villager, 10, 1, 1
4, plains, modern_beta:alpha, MONSTER, minecraft:skeleton, 60, 4, 4
5, plains, modern_beta:alpha, MONSTER, minecraft:creeper, 60, 4, 4
6, plains, modern_beta:alpha, MONSTER, minecraft:slime, 60, 4, 4
7, plains, modern_beta:alpha, MONSTER, minecraft:enderman, 5, 1, 4
8, plains, modern_beta:alpha, MONSTER, minecraft:witch, 5, 1, 1
9, plains, modern_beta:alpha, CREATURE, minecraft:sheep, 20, 4, 4
10, plains, modern_beta:alpha, CREATURE, minecraft:pig, 20, 4, 4
11, plains, modern_beta:alpha, CREATURE, minecraft:chicken, 20, 4, 4
12, plains, modern_beta:alpha, CREATURE, minecraft:cow, 20, 4, 4
13, plains, modern_beta:alpha, AMBIENT, minecraft:bat, 10, 8, 8
14, plains, modern_beta:alpha, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
15, plains, modern_beta:alpha, WATER_CREATURE, minecraft:squid, 10, 1, 4
16, plains, modern_beta:alpha_winter, MONSTER, minecraft:spider, 60, 4, 4
17, plains, modern_beta:alpha_winter, MONSTER, minecraft:zombie, 60, 4, 4
18, plains, modern_beta:alpha_winter, MONSTER, minecraft:zombie_villager, 10, 1, 1
19, plains, modern_beta:alpha_winter, MONSTER, minecraft:skeleton, 60, 4, 4
20, plains, modern_beta:alpha_winter, MONSTER, minecraft:creeper, 60, 4, 4
21, plains, modern_beta:alpha_winter, MONSTER, minecraft:slime, 60, 4, 4
22, plains, modern_beta:alpha_winter, MONSTER, minecraft:enderman, 5, 1, 4
23, plains, modern_beta:alpha_winter, MONSTER, minecraft:witch, 5, 1, 1
24, plains, modern_beta:alpha_winter, CREATURE, minecraft:sheep, 20, 4, 4
25, plains, modern_beta:alpha_winter, CREATURE, minecraft:pig, 20, 4, 4
26, plains, modern_beta:alpha_winter, CREATURE, minecraft:chicken, 20, 4, 4
27, plains, modern_beta:alpha_winter, CREATURE, minecraft:cow, 20, 4, 4
28, plains, modern_beta:alpha_winter, AMBIENT, minecraft:bat, 10, 8, 8
29, plains, modern_beta:alpha_winter, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
30, plains, modern_beta:alpha_winter, WATER_CREATURE, minecraft:squid, 10, 1, 4
31, the_end, betterend:amber_land, MONSTER, minecraft:enderman, 5, 1, 4
32, the_end, betterend:amber_land, MONSTER, betterend:end_slime, 30, 1, 2
33, badlands, minecraft:badlands, MONSTER, minecraft:spider, 60, 4, 4
34, badlands, minecraft:badlands, MONSTER, minecraft:zombie, 60, 4, 4
35, badlands, minecraft:badlands, MONSTER, minecraft:zombie_villager, 10, 1, 1
