1, minecraft:ancient_city, HEADING, header:ignore, 0, 0, 0
2, minecraft:bastion_remnant, HEADING, header:ignore, 0, 0, 0
3, aether:bronze_dungeon, HEADING, header:ignore, 0, 0, 0
4, minecraft:buried_treasure, HEADING, header:ignore, 0, 0, 0
5, minecraft:desert_pyramid, HEADING, header:ignore, 0, 0, 0
6, betterdeserttemples:desert_temple, HEADING, header:ignore, 0, 0, 0
7, betterdeserttemples:desert_temple, MONSTER, minecraft:husk, 80, 10, 32
8, betterdeserttemples:desert_temple, CREATURE, minecraft:cat, 80, 4, 4
9, betterdeserttemples:desert_temple, CREATURE, minecraft:rabbit, 80, 4, 4
10, nullscape:dragon_skeleton, HEADING, header:ignore, 0, 0, 0
11, minecraft:end_city, HEADING, header:ignore, 0, 0, 0
12, betterend:end_village, HEADING, header:ignore, 0, 0, 0
13, betterend:eternal_portal, HEADING, header:ignore, 0, 0, 0
14, betterfortresses:fortress, HEADING, header:ignore, 0, 0, 0
15, betterfortresses:fortress, MONSTER, minecraft:blaze, 10, 2, 3
16, betterfortresses:fortress, MONSTER, minecraft:zombified_piglin, 10, 4, 4
17, betterfortresses:fortress, MONSTER, minecraft:wither_skeleton, 10, 5, 5
18, betterfortresses:fortress, MONSTER, minecraft:skeleton, 10, 5, 5
19, betterfortresses:fortress, MONSTER, minecraft:magma_cube, 10, 4, 4
20, minecraft:fortress, HEADING, header:ignore, 0, 0, 0
21, minecraft:fortress, MONSTER, minecraft:blaze, 10, 2, 3
22, minecraft:fortress, MONSTER, minecraft:zombified_piglin, 10, 4, 4
23, minecraft:fortress, MONSTER, minecraft:wither_skeleton, 10, 5, 5
24, minecraft:fortress, MONSTER, minecraft:skeleton, 10, 5, 5
25, minecraft:fortress, MONSTER, minecraft:magma_cube, 10, 4, 4
26, betterend:giant_ice_star, HEADING, header:ignore, 0, 0, 0
27, betterend:giant_mossy_glowshroom, HEADING, header:ignore, 0, 0, 0
28, aether:gold_dungeon, HEADING, header:ignore, 0, 0, 0
